"River Basin District","Management Catchment","Operational Catchment","Water Body ID","Water Body","Water Body Type","Easting","Northing","Ngr","Hydromorphological designation","Year","Status","Cycle","Classification Level","Classification Item","Classification ID","Certainty","Confidence","Deterioration Type","Linked Reasons","Investigation Outcome"
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","2","Element","Dioxins and dioxin-like compounds","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_233/cycle/2","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Moderate","3","Ecological, chemical or quantitative status","Ecological","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_1/cycle/3","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","High","3","Element","Dissolved oxygen","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_69/cycle/3","No Information","0.99","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Fail","3","Element","Mercury and Its Compounds","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_36/cycle/3","Uncertain","0",,"http://environment.data.gov.uk/catchment-planning/data/reason-for-failure/560778",
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Moderate","3","Component","Supporting elements (Surface Water)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_13/cycle/3","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Moderate","2","Ecological, chemical or quantitative status","Ecological","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_1/cycle/2","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","High","2","Element","Dissolved oxygen","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_69/cycle/2","No Information","0.99","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Fail","2","Element","Mercury and Its Compounds","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_36/cycle/2","Uncertain","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","3","Element","Hexabromocyclododecane (HBCDD)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_242/cycle/3","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2009","Does not require assessment","1","Ecological, chemical or quantitative status","Chemical","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2009/item/wbc_2/cycle/1","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","2","Element","Hexabromocyclododecane (HBCDD)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_242/cycle/2","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Moderate","2","Component","Supporting elements (Surface Water)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_13/cycle/2","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2009","High","1","Element","Copper","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2009/item/wbc_79/cycle/1","No Information","1",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","3","Element","Heptachlor and cis-Heptachlor epoxide","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_241/cycle/3","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2009","Moderate","1","Component","Supporting elements (Surface Water)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2009/item/wbc_13/cycle/1","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2009","Moderate","1","Ecological, chemical or quantitative status","Ecological","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2009/item/wbc_1/cycle/1","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","3","Element","Benzo(a)pyrene","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_22/cycle/3","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","2","Element","Heptachlor and cis-Heptachlor epoxide","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_241/cycle/2","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Fail","3","Element","Polybrominated diphenyl ethers (PBDE)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_185/cycle/3","Uncertain","0",,"http://environment.data.gov.uk/catchment-planning/data/reason-for-failure/560779",
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","High","3","Element","Ammonia (Phys-Chem)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_66/cycle/3","No Information","1","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","3","Element","Hexachlorobutadiene","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_32/cycle/3","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Fail","2","Element","Polybrominated diphenyl ethers (PBDE)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_185/cycle/2","Uncertain","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2016","High","2","Element","Dissolved oxygen","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2016/item/wbc_69/cycle/2","No Information","0.57","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","3","Component","Priority substances","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_10/cycle/3","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","High","2","Element","Ammonia (Phys-Chem)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_66/cycle/2","No Information","1","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","2","Element","Benzo(a)pyrene","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_22/cycle/2","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2009","High","1","Element","Ammonia (Phys-Chem)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2009/item/wbc_66/cycle/1","No Information","1",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2009","Does not require assessment","1","Component","Priority substances","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2009/item/wbc_10/cycle/1","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","3","Element","Hexachlorobenzene","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_31/cycle/3","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2016","Moderate","2","Component","Supporting elements (Surface Water)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2016/item/wbc_13/cycle/2","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","2","Element","Hexachlorobutadiene","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_32/cycle/2","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","2","Component","Priority substances","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_10/cycle/2","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2015","High","2","Element","Dissolved oxygen","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2015/item/wbc_69/cycle/2","No Information","0.75",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","High","3","Element","Temperature","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_74/cycle/3","No Information","0.66","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","3","Element","Fluoranthene","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_30/cycle/3","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","2","Element","Hexachlorobenzene","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_31/cycle/2","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2014","High","2","Element","Dissolved oxygen","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2014/item/wbc_69/cycle/2","No Information","0.82",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2015","Moderate","2","Component","Supporting elements (Surface Water)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2015/item/wbc_13/cycle/2","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2013","High","2","Element","Dissolved oxygen","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2013/item/wbc_69/cycle/2","No Information","0.79",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2016","High","2","Element","Ammonia (Phys-Chem)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2016/item/wbc_66/cycle/2","No Information","1","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","High","2","Element","Temperature","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_74/cycle/2","No Information","0.66","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","2","Element","Fluoranthene","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_30/cycle/2","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2014","Moderate","2","Component","Supporting elements (Surface Water)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2014/item/wbc_13/cycle/2","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2014","High","1","Element","Dissolved oxygen","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2014/item/wbc_69/cycle/1","No Information","0.82",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2009","High","1","Element","Temperature","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2009/item/wbc_74/cycle/1","No Information","0.91",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2013","Moderate","2","Component","Supporting elements (Surface Water)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2013/item/wbc_13/cycle/2","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2013","High","1","Element","Dissolved oxygen","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2013/item/wbc_69/cycle/1","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2016","Does not require assessment","2","Component","Priority substances","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2016/item/wbc_10/cycle/2","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2014","High","1","Element","Copper","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2014/item/wbc_79/cycle/1","No Information","1","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2015","High","2","Element","Ammonia (Phys-Chem)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2015/item/wbc_66/cycle/2","No Information","1",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2014","Moderate","1","Component","Supporting elements (Surface Water)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2014/item/wbc_13/cycle/1","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2012","High","1","Element","Dissolved oxygen","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2012/item/wbc_69/cycle/1","No Information","0.68",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2015","Does not require assessment","2","Component","Priority substances","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2015/item/wbc_10/cycle/2","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","3","Element","Phosphate","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_71/cycle/3","No Information","1",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2013","High","1","Element","Copper","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2013/item/wbc_79/cycle/1","No Information","1","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2014","High","2","Element","Ammonia (Phys-Chem)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2014/item/wbc_66/cycle/2","No Information","1",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2013","Moderate","1","Component","Supporting elements (Surface Water)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2013/item/wbc_13/cycle/1","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","3","Element","Perfluorooctane sulphonate (PFOS)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_190/cycle/3","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2012","High","1","Element","Copper","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2012/item/wbc_79/cycle/1","No Information","1",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2009","Good","1","Element","Phosphate","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2009/item/wbc_71/cycle/1","No Information","1",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","High","3","Element","pH","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_70/cycle/3","No Information","0.99","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2013","High","2","Element","Ammonia (Phys-Chem)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2013/item/wbc_66/cycle/2","No Information","1",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2012","Moderate","1","Component","Supporting elements (Surface Water)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2012/item/wbc_13/cycle/1","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","2","Element","Perfluorooctane sulphonate (PFOS)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_190/cycle/2","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2016","High","2","Element","Temperature","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2016/item/wbc_74/cycle/2","No Information","0.89","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","2","Element","Phosphate","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_71/cycle/2","No Information","1",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2011","Good","1","Element","Dissolved oxygen","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2011/item/wbc_69/cycle/1","No Information","0.69",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2014","Does not require assessment","2","Component","Priority substances","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2014/item/wbc_10/cycle/2","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2014","High","1","Element","Ammonia (Phys-Chem)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2014/item/wbc_66/cycle/1","No Information","1","Face Value Unchanged",,
